	Params	Mutation_Rate	Cross_Rate	Population_Size	Total_Generations	Elistism	Selection_Method	Tournament_Count	Bests_Results	Number_times_got_best_solution
1	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.01	0.7	50	50	1	T	10	370.75	0
2	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.01	0.7	50	50	1	R	2	390.1333333333333	0
3	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.01	0.7	50	50	1	R	10	399.95	0
4	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.01	0.7	50	50	5	T	2	391.88	0
6	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.01	0.7	50	50	5	R	2	384.7857142857143	0
7	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.01	0.7	50	50	5	R	10	387.1125	0
8	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.01	1.0	50	50	1	T	2	386.0888888888889	0
10	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.01	1.0	50	50	1	R	2	385.5090909090909	0
11	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.01	1.0	50	50	1	R	10	389925	0
12	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.01	1.0	50	50	5	T	2	385.55384615384617	0
14	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.01	1.0	50	50	5	R	2	383.76666666666665	0
15	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.01	1.0	50	50	5	R	10	385.8	0
16	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.05	0.7	50	50	1	T	2	388.4647058823529	0
18	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.05	0.7	50	50	1	R	2	388.0421052631579	0
19	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	50	50	1	R	10	390575	0
20	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	50	50	5	T	2	391.33809523809526	0
22	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	50	50	5	R	2	390.67826086956524	0
23	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.05	0.7	50	50	5	R	10	392.71666666666664	0
24	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.05	1.0	50	50	1	T	2	394172	0
26	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.05	1.0	50	50	1	R	2	393.2814814814815	0
